naziv,cena_m2,broj_prodaja
Bor,1127,91
Jagodina,1148,188
Kikinda,1034,49
Kragujevac,1542,573
Kraljevo,1424,173
Kruševac,1226,268
Leskovac,1212,151
Loznica,1200,368
Niš,1771,1124
Novi Beograd,3431,1439
Novi Pazar,1000,329
Novi Sad,2356,2457
Palilula (Beograd),2970,266
Pančevo,1593,547
Pirot,1082,64
Požarevac,1232,195
Prokuplje,1111,82
Rakovica,2656,237
Savski venac,4117,370
Smederevo,1358,125
Sombor,1112,206
Sremska Mitrovica,1448,140
Stari grad,4015,241
Subotica,1373,585
Užice,1549,150
Valjevo,1303,180
Voždovac,2840,831
Vranje,1065,55
Vračar,3619,333
Vršac,1306,82
Zaječar,1159,49
Zemun,2803,457
Zrenjanin,1295,226
Zvezdara,3030,568
Čačak,1395,279
Čukarica,2869,452
Šabac,1606,248
