okrug,opstina,nezaposleni,zene
Kosovska,Glogovac,2,2
Kosovska,Kačanik,8,4
Kosovska,Kosovo Polje,556,297
Kosovska,Lipljan,1240,629
Kosovska,Obilić,606,333
Kosovska,Podujevo,7,3
Kosovska,Priština,1788,972
Kosovska,Uroševac,119,67
Kosovska,Štimlje,13,5
Kosovska,Štrpce,2285,1210
Pećka,Dečani,5,2
Pećka,Đakovica,22,13
Pećka,Istok,131,67
Pećka,Klina,75,41
Pećka,Peć,236,134
Prizrenska,Orahovac,125,81
Prizrenska,Prizren,300,136
Prizrenska,Suva Reka,32,14
Prizrenska,Gora,1613,927
Kosovsko-mitrovačka,Vučitrn,431,236
Kosovsko-mitrovačka,Zubin Potok,1297,731
Kosovsko-mitrovačka,Leposavić,2186,1313
Kosovsko-mitrovačka,Srbica,35,22
Kosovsko-mitrovačka,Kosovska Mitrovica,2285,1271
Kosovsko-mitrovačka,Zvečan,1045,556
Kosovsko-pomoravska,Vitina,540,329
Kosovsko-pomoravska,Gnjilane,2013,1246
Kosovsko-pomoravska,Kosovska Kamenica,1411,845
Kosovsko-pomoravska,Novo Brdo,260,139
