naziv,osudjeni_ukupno,protiv_zivota_i_tela,protiv_imovine,nasilni_imovinski_na_10000
Barajevo,80,4,12,6.0
Voždovac,562,22,143,9.4
Vračar,146,3,41,8.0
Grocka,234,12,45,6.9
Zvezdara,246,10,47,3.3
Zemun,497,24,126,8.3
Lazarevac,219,11,63,13.5
Mladenovac,166,11,45,11.6
Novi Beograd,726,31,184,10.4
Obrenovac,271,8,48,8.1
Palilula (Beograd),227,12,55,3.6
Rakovica,218,9,57,6.4
Savski venac,548,18,144,43.2
Sopot,79,3,31,17.7
Stari grad,314,10,88,22.5
Surčin,205,10,55,13.9
Čukarica,420,12,95,6.2
Sombor,373,16,60,11.1
Apatin,98,15,16,13.9
Kula,163,7,30,10.7
Odžaci,120,2,14,6.6
Pančevo,425,28,97,10.9
Alibunar,55,4,12,9.6
Bela Crkva,65,4,8,8.5
Vršac,254,6,38,9.9
Kovačica,68,3,22,12.1
Kovin,135,4,41,16.4
Opovo,30,1,7,8.6
Plandište,30,2,2,4.7
Novi Sad,682,39,121,4.3
Bač,23,1,1,1.8
Bačka Palanka,122,5,19,5.1
Bački Petrovac,11,0,3,2.6
Beočin,27,2,3,3.7
Bečej,183,16,60,25.3
Vrbas,185,6,50,15.6
Žabalj,30,0,9,3.8
Srbobran,72,3,21,17.0
Sremski Karlovci,7,0,1,1.3
Temerin,29,0,3,1.2
Titel,14,2,3,3.6
Kikinda,230,13,74,18.2
Ada,38,1,11,9.3
Kanjiža,402,3,17,10.2
Novi Kneževac,36,0,8,9.6
Senta,116,6,35,23.7
Čoka,32,0,5,6.1
Subotica,603,21,94,9.5
Bačka Topola,79,6,11,6.7
Mali Iđoš,37,3,4,7.2
Zrenjanin,706,23,180,19.7
Žitište,75,3,26,22.3
Nova Crnja,46,1,10,13.9
Novi Bečej,138,4,34,19.6
Sečanj,61,3,18,20.5
Sremska Mitrovica,394,21,56,10.8
Inđija,188,10,27,8.6
Irig,73,5,19,26.7
Pećinci,111,7,28,19.3
Ruma,284,9,53,12.9
Stara Pazova,258,22,49,11.3
Šid,132,2,10,4.5
Užice,105,2,15,2.5
Arilje,67,5,10,9.0
Bajina Bašta,56,0,10,4.4
Kosjerić,47,4,9,13.3
Nova Varoš,61,7,13,15.6
Požega,123,8,21,11.5
Priboj,26,1,4,2.2
Prijepolje,116,3,15,5.7
Sjenica,104,15,19,14.2
Čajetina,32,3,9,7.8
Valjevo,341,24,89,14.1
Lajkovac,54,1,20,15.5
Ljig,39,3,10,12.4
Mionica,53,3,13,13.5
Osečina,20,4,3,7.3
Ub,103,8,44,20.4
Šabac,532,30,73,10.0
Bogatić,24,0,0,0.0
Vladimirci,51,4,12,11.5
Koceljeva,48,0,12,11.2
Krupanj,37,3,6,6.5
Loznica,373,18,64,11.5
Ljubovija,41,3,3,5.2
Mali Zvornik,87,0,8,7.4
Čačak,343,13,113,12.1
Gornji Milanovac,120,9,14,6.0
Ivanjica,86,4,17,7.8
Lučani,38,4,8,7.4
Jagodina,261,19,65,13.3
Despotovac,46,3,7,5.8
Paraćin,170,16,32,10.9
Rekovac,10,0,0,0.0
Svilajnac,54,12,17,14.8
Ćuprija,94,6,24,12.3
Kruševac,464,46,129,15.8
Aleksandrovac,55,6,8,6.7
Brus,121,5,14,14.6
Varvarin,35,4,6,7.3
Trstenik,140,10,23,9.5
Ćićevac,34,4,2,7.8
Kraljevo,420,15,117,12.3
Vrnjačka Banja,128,10,22,12.9
Novi Pazar,264,14,53,6.1
Raška,136,9,43,25.1
Tutin,13,0,1,0.3
Kragujevac,556,30,141,10.1
Aranđelovac,211,9,65,18.2
Batočina,19,0,7,7.0
Knić,23,3,3,5.2
Lapovo,13,0,8,12.5
Rača,27,2,6,8.5
Topola,67,3,25,15.1
Bor,320,9,108,29.9
Kladovo,63,3,8,6.6
Majdanpek,56,1,14,10.9
Negotin,116,9,23,11.9
Požarevac,378,18,116,19.8
Veliko Gradište,89,3,25,18.7
Golubac,39,2,6,12.8
Žabari,32,1,4,5.7
Žagubica,29,5,1,6.5
Kučevo,50,6,7,11.7
Malo Crniće,39,0,10,11.7
Petrovac na Mlavi,122,4,23,10.9
Zaječar,278,13,59,15.6
Boljevac,64,5,7,12.4
Knjaževac,120,2,42,18.2
Sokobanja,64,2,22,19.0
Leskovac,476,26,125,12.5
Bojnik,25,5,9,15.5
Vlasotince,67,6,16,8.8
Lebane,77,5,13,10.4
Medveđa,21,2,7,15.3
Crna Trava,2,0,0,0.0
Niš,505,44,197,9.7
Aleksinac,138,13,30,10.3
Gadžin Han,12,3,3,11.0
Doljevac,17,1,4,3.2
Merošina,26,0,5,4.3
Ražanj,30,4,11,22.3
Svrljig,17,1,7,7.8
Pirot,363,23,78,20.9
Babušnica,41,3,6,10.6
Bela Palanka,68,6,16,23.0
Dimitrovgrad,218,2,4,7.8
Smederevo,371,15,68,8.6
Velika Plana,222,15,55,20.2
Smederevska Palanka,221,21,56,18.8
Vranje,246,24,44,9.4
Bosilegrad,26,3,2,8.8
Bujanovac,138,12,32,10.8
Vladičin Han,46,2,14,9.4
Preševo,137,6,19,7.5
Surdulica,62,10,6,9.7
Trgovište,18,1,0,2.4
Prokuplje,115,9,23,8.6
Blace,48,4,12,17.3
Žitorađa,31,4,6,7.4
Kuršumlija,80,9,13,14.5
