naziv,lat,lon,centar,min_centar,min_autoput,aerodrom,min_aerodrom
Barajevo,44.57803,20.41605,Beograd,43,24,Aerodrom Beograd,43
Voždovac,44.778,20.48,Beograd,8,3,Aerodrom Beograd,25
Vračar,44.799,20.478,Beograd,5,5,Aerodrom Beograd,25
Grocka,44.67092,20.71702,Beograd,37,19,Aerodrom Beograd,51
Zvezdara,44.796,20.505,Beograd,8,7,Aerodrom Beograd,28
Zemun,44.843,20.401,Beograd,13,6,Aerodrom Beograd,19
Lazarevac,44.38152,20.26103,Beograd,69,24,Aerodrom Beograd,65
Mladenovac,44.44012,20.69415,Beograd,47,19,Aerodrom Beograd,62
Novi Beograd,44.815,20.421,Beograd,6,1,Aerodrom Beograd,17
Obrenovac,44.65483,20.20143,Beograd,39,14,Aerodrom Beograd,30
Palilula (Beograd),44.818,20.485,Beograd,5,8,Aerodrom Beograd,26
Rakovica,44.743,20.441,Beograd,16,13,Aerodrom Beograd,31
Savski venac,44.796,20.452,Beograd,6,2,Aerodrom Beograd,22
Sopot,44.51993,20.57535,Beograd,47,18,Aerodrom Beograd,61
Stari grad,44.8176,20.4569,Beograd,2,7,Aerodrom Beograd,25
Surčin,44.79104,20.27017,Beograd,23,3,Aerodrom Beograd,14
Čukarica,44.783,20.416,Beograd,10,7,Aerodrom Beograd,25
Sombor,45.77274,19.1147,Novi Sad,104,65,Aerodrom Beograd,142
Apatin,45.67125,18.98179,Novi Sad,119,80,Aerodrom Beograd,157
Kula,45.61015,19.53012,Novi Sad,56,29,Aerodrom Beograd,93
Odžaci,45.50587,19.25974,Novi Sad,76,62,Aerodrom Beograd,121
Pančevo,44.87057,20.63996,Beograd,24,9,Aerodrom Beograd,46
Alibunar,45.08004,20.96652,Beograd,64,48,Aerodrom Beograd,86
Bela Crkva,44.90012,21.423,Beograd,112,78,Aerodrom Beograd,134
Vršac,45.12001,21.29879,Beograd,95,80,Aerodrom Beograd,117
Kovačica,45.11187,20.62016,Beograd,57,41,Aerodrom Beograd,73
Kovin,44.74124,20.97814,Beograd,61,25,Aerodrom Beograd,81
Opovo,45.05185,20.42545,Beograd,42,44,Aerodrom Beograd,49
Plandište,45.22952,21.12252,Beograd,100,85,Aerodrom Beograd,122
Novi Sad,45.25513,19.84518,Novi Sad,0,6,Aerodrom Beograd,60
Bač,45.39168,19.2368,Novi Sad,74,70,Aerodrom Beograd,118
Bačka Palanka,45.22395,19.37511,Novi Sad,62,35,Aerodrom Beograd,85
Bački Petrovac,45.36006,19.59143,Novi Sad,35,30,Aerodrom Beograd,85
Beočin,45.20805,19.72235,Novi Sad,25,19,Aerodrom Beograd,80
Bečej,45.61537,20.04901,Novi Sad,60,38,Aerodrom Beograd,101
Vrbas,45.56803,19.64701,Novi Sad,41,11,Aerodrom Beograd,78
Žabalj,45.37295,20.06339,Novi Sad,28,23,Aerodrom Beograd,63
Srbobran,45.54515,19.7911,Novi Sad,41,11,Aerodrom Beograd,78
Sremski Karlovci,45.20305,19.93383,Novi Sad,17,11,Aerodrom Beograd,56
Temerin,45.40739,19.88765,Novi Sad,28,18,Aerodrom Beograd,71
Titel,45.20439,20.30604,Novi Sad,49,34,Aerodrom Beograd,69
Kikinda,45.83001,20.46531,Novi Sad,108,85,Aerodrom Beograd,143
Ada,45.79675,20.1331,Novi Sad,88,64,Aerodrom Beograd,128
Kanjiža,46.06571,20.05794,Novi Sad,99,22,Aerodrom Beograd,137
Novi Kneževac,46.04477,20.09291,Novi Sad,104,26,Aerodrom Beograd,141
Senta,45.93124,20.09016,Novi Sad,97,45,Aerodrom Beograd,134
Čoka,45.94112,20.13994,Novi Sad,103,39,Aerodrom Beograd,141
Subotica,46.10021,19.66533,Novi Sad,80,15,Aerodrom Beograd,117
Bačka Topola,45.81217,19.63047,Novi Sad,57,9,Aerodrom Beograd,94
Mali Iđoš,45.7067,19.66612,Novi Sad,49,12,Aerodrom Beograd,87
Zrenjanin,45.38027,20.39076,Novi Sad,54,49,Aerodrom Beograd,89
Žitište,45.4834,20.552,Novi Sad,70,65,Aerodrom Beograd,105
Nova Crnja,45.66783,20.60705,Novi Sad,99,94,Aerodrom Beograd,134
Novi Bečej,45.59557,20.13345,Novi Sad,68,48,Aerodrom Beograd,109
Sečanj,45.36637,20.77238,Novi Sad,87,82,Aerodrom Beograd,114
Sremska Mitrovica,44.96856,19.60839,Beograd,58,11,Aerodrom Beograd,49
Inđija,45.04786,20.08073,Novi Sad,41,13,Aerodrom Beograd,39
Irig,45.09952,19.86105,Novi Sad,30,23,Aerodrom Beograd,53
Pećinci,44.90908,19.96721,Beograd,39,5,Aerodrom Beograd,30
Ruma,45.00783,19.81878,Novi Sad,45,10,Aerodrom Beograd,41
Stara Pazova,44.98461,20.15888,Beograd,38,8,Aerodrom Beograd,29
Šid,45.12811,19.22641,Novi Sad,79,15,Aerodrom Beograd,75
Užice,43.8565,19.84027,Kragujevac,119,40,Aerodrom Morava (Kraljevo),84
Arilje,43.75055,20.10031,Kragujevac,98,19,Aerodrom Morava (Kraljevo),64
Bajina Bašta,43.97122,19.56601,Kragujevac,163,84,Aerodrom Morava (Kraljevo),128
Kosjerić,43.99716,19.90712,Kragujevac,124,45,Aerodrom Morava (Kraljevo),89
Nova Varoš,43.46037,19.81163,Kragujevac,201,122,Aerodrom Morava (Kraljevo),166
Požega,43.84598,20.03569,Kragujevac,95,16,Aerodrom Morava (Kraljevo),60
Priboj,43.58285,19.52582,Kragujevac,217,138,Aerodrom Morava (Kraljevo),182
Prijepolje,43.38921,19.64935,Kragujevac,235,156,Aerodrom Morava (Kraljevo),200
Sjenica,43.27293,19.99917,Kragujevac,200,122,Aerodrom Morava (Kraljevo),163
Čajetina,43.75048,19.71654,Kragujevac,143,64,Aerodrom Morava (Kraljevo),108
Valjevo,44.27087,19.88633,Beograd,82,15,Aerodrom Beograd,73
Lajkovac,44.36986,20.16582,Beograd,66,14,Aerodrom Beograd,58
Ljig,44.22533,20.23994,Beograd,71,4,Aerodrom Morava (Kraljevo),60
Mionica,44.25271,20.0828,Beograd,76,17,Aerodrom Beograd,68
Osečina,44.37278,19.60073,Beograd,122,61,Aerodrom Beograd,113
Ub,44.45619,20.074,Beograd,57,12,Aerodrom Beograd,48
Šabac,44.75715,19.6954,Beograd,64,11,Aerodrom Beograd,55
Bogatić,44.8343,19.47952,Beograd,84,19,Aerodrom Beograd,75
Vladimirci,44.61583,19.7851,Beograd,86,34,Aerodrom Beograd,77
Koceljeva,44.46799,19.82035,Beograd,83,38,Aerodrom Beograd,75
Krupanj,44.36563,19.36284,Beograd,134,56,Aerodrom Beograd,125
Loznica,44.53092,19.22375,Beograd,102,24,Aerodrom Beograd,93
Ljubovija,44.18805,19.3761,Beograd,154,87,Aerodrom Beograd,145
