naziv,rodjeni_na_1000,umrli_na_1000,prirastaj_na_1000
Barajevo,8.7,15.0,-6.3
Voždovac,10.4,12.0,-1.6
Vračar,10.2,14.0,-3.8
Grocka,9.6,12.1,-2.5
Zvezdara,11.4,10.9,0.5
Zemun,10.7,12.2,-1.5
Lazarevac,10.2,14.3,-4.1
Mladenovac,10.0,15.0,-5.0
Novi Beograd,9.7,12.5,-2.8
Obrenovac,10.9,14.6,-3.7
Palilula (Beograd),10.6,12.3,-1.7
Rakovica,9.3,13.2,-3.9
Savski venac,10.6,15.0,-4.4
Sopot,9.3,16.0,-6.7
Stari grad,8.9,14.9,-6.0
Surčin,11.2,11.1,0.1
Čukarica,9.9,12.3,-2.4
Sombor,7.1,18.9,-11.8
Apatin,7.4,19.9,-12.5
Kula,7.3,15.8,-8.5
Odžaci,9.3,16.5,-7.2
Pančevo,8.9,14.0,-5.1
Alibunar,8.4,14.0,-5.6
Bela Crkva,7.8,16.7,-8.9
Vršac,8.9,15.8,-6.9
Kovačica,8.5,16.6,-8.1
Kovin,9.4,16.0,-6.6
Opovo,8.3,15.2,-6.9
Plandište,5.5,18.1,-12.6
Novi Sad,10.9,10.9,0.0
Bač,7.1,17.9,-10.8
Bačka Palanka,8.4,16.2,-7.8
Bački Petrovac,7.4,17.0,-9.6
Beočin,9.3,14.9,-5.6
Bečej,9.6,17.1,-7.5
Vrbas,8.7,14.2,-5.5
Žabalj,11.9,13.8,-1.9
Srbobran,11.6,16.6,-5.0
Sremski Karlovci,6.8,15.4,-8.6
Temerin,8.5,13.7,-5.2
Titel,11.6,17.6,-6.0
Kikinda,7.9,18.0,-10.1
Ada,7.5,20.2,-12.7
Kanjiža,6.8,17.7,-10.9
Novi Kneževac,8.2,20.4,-12.2
Senta,6.7,21.1,-14.4
Čoka,8.7,23.0,-14.3
Subotica,8.3,15.8,-7.5
Bačka Topola,6.9,17.9,-11.0
Mali Iđoš,9.6,16.8,-7.2
Zrenjanin,8.0,15.9,-7.9
Žitište,8.5,17.1,-8.6
Nova Crnja,9.6,19.9,-10.3
Novi Bečej,9.3,16.6,-7.3
Sečanj,7.9,20.7,-12.8
Sremska Mitrovica,7.8,16.0,-8.2
Inđija,8.6,14.0,-5.4
Irig,7.6,18.1,-10.5
Pećinci,9.4,13.4,-4.0
Ruma,9.1,14.9,-5.8
Stara Pazova,9.9,12.4,-2.5
Šid,6.9,18.0,-11.1
Užice,6.6,14.3,-7.7
Arilje,7.1,13.1,-6.0
Bajina Bašta,6.6,14.2,-7.6
Kosjerić,6.7,17.3,-10.6
Nova Varoš,4.5,16.7,-12.2
Požega,7.4,16.4,-9.0
Priboj,6.9,15.2,-8.3
Prijepolje,8.2,13.8,-5.6
Sjenica,13.6,11.0,2.6
Čajetina,10.0,12.9,-2.9
Valjevo,8.8,18.8,-10.0
Lajkovac,8.8,12.7,-3.9
Ljig,5.1,11.9,-6.8
Mionica,9.3,15.3,-6.0
Osečina,6.8,16.0,-9.2
Ub,8.6,12.7,-4.1
Šabac,8.5,15.5,-7.0
Bogatić,8.4,15.7,-7.3
Vladimirci,7.0,18.7,-11.7
Koceljeva,8.5,16.8,-8.3
Krupanj,6.9,15.0,-8.1
Loznica,8.7,13.8,-5.1
Ljubovija,7.0,16.4,-9.4
Mali Zvornik,10.1,10.9,-0.8
Čačak,8.7,14.1,-5.4
Gornji Milanovac,8.4,15.6,-7.2
Ivanjica,7.2,13.4,-6.2
Lučani,8.8,17.9,-9.1
Jagodina,7.6,16.1,-8.5
Despotovac,5.8,19.4,-13.6
Paraćin,7.6,16.3,-8.7
Rekovac,4.6,20.4,-15.8
Svilajnac,6.0,18.8,-12.8
Ćuprija,6.1,19.9,-13.8
Kruševac,8.5,15.4,-6.9
Aleksandrovac,6.6,16.6,-10.0
Brus,7.5,17.9,-10.4
Varvarin,5.2,17.5,-12.3
Trstenik,6.9,17.3,-10.4
Ćićevac,7.2,14.7,-7.5
Kraljevo,8.3,16.0,-7.7
Vrnjačka Banja,8.1,16.2,-8.1
Novi Pazar,14.4,7.2,7.2
Raška,8.7,15.1,-6.4
Tutin,14.8,7.6,7.2
Kragujevac,9.3,14.3,-5.0
Aranđelovac,9.2,13.4,-4.2
Batočina,7.6,13.1,-5.5
Knić,7.6,17.7,-10.1
Lapovo,7.3,15.9,-8.6
Rača,8.2,14.6,-6.4
Topola,6.3,15.3,-9.0
Bor,9.2,17.5,-8.3
Kladovo,5.1,19.2,-14.1
Majdanpek,8.7,17.8,-9.1
Negotin,5.7,23.1,-17.4
Požarevac,8.8,14.6,-5.8
Veliko Gradište,7.4,18.5,-11.1
Golubac,6.1,19.6,-13.5
Žabari,4.6,19.8,-15.2
Žagubica,5.3,21.7,-16.4
Kučevo,4.7,22.2,-17.5
Malo Crniće,6.0,17.8,-11.8
Petrovac na Mlavi,6.8,20.7,-13.9
Zaječar,6.8,20.2,-13.4
Boljevac,6.2,22.6,-16.4
Knjaževac,5.4,20.0,-14.6
Sokobanja,7.8,21.7,-13.9
Leskovac,8.6,15.5,-6.9
Bojnik,12.7,18.0,-5.3
Vlasotince,8.7,15.7,-7.0
Lebane,8.5,18.7,-10.2
Medveđa,7.5,19.6,-12.1
Crna Trava,4.3,34.1,-29.8
Niš,9.7,13.7,-4.0
Aleksinac,8.9,18.7,-9.8
Gadžin Han,8.3,25.9,-17.6
Doljevac,8.7,16.2,-7.5
Merošina,8.6,16.8,-8.2
Ražanj,5.8,21.2,-15.4
Svrljig,7.7,26.2,-18.5
Pirot,8.2,15.8,-7.6
Babušnica,8.0,24.2,-16.2
Bela Palanka,6.9,17.0,-10.1
Dimitrovgrad,5.0,21.5,-16.5
Smederevo,9.5,14.7,-5.2
Velika Plana,7.6,16.2,-8.6
Smederevska Palanka,7.9,17.6,-9.7
Vranje,7.4,14.4,-7.0
Bosilegrad,3.5,20.4,-16.9
Bujanovac,8.3,7.5,0.8
Vladičin Han,7.9,15.5,-7.6
Preševo,7.1,6.8,0.3
Surdulica,6.9,17.6,-10.7
Trgovište,12.9,14.6,-1.7
Prokuplje,11.7,16.2,-4.5
Blace,6.9,17.0,-10.1
Žitorađa,9.3,15.4,-6.1
Kuršumlija,8.9,17.7,-8.8
