naziv,pop2011,pop2022,pop_procena,radni_uzrast
Barajevo,27110,26431,26711,15923
Voždovac,158213,174864,175464,114181
Vračar,56333,55406,55327,35573
Grocka,83907,82810,83100,52447
Zvezdara,151808,172625,174647,116245
Zemun,168170,177908,179894,115438
Lazarevac,58622,55146,54821,34670
Mladenovac,53096,48683,48415,29763
Novi Beograd,214506,209763,206866,129712
Obrenovac,72524,68882,68837,43141
Palilula (Beograd),173521,182624,184406,121236
Rakovica,108641,104456,102708,66626
Savski venac,39122,36699,37470,23713
Sopot,20367,19126,19238,11425
Stari grad,48450,44737,43571,27308
Surčin,43819,45452,46667,29732
Čukarica,181231,175793,173328,110630
Sombor,85903,70818,68408,42289
Apatin,28929,23155,22316,13516
Kula,43101,35592,34537,21464
Odžaci,30154,24926,24159,14759
Pančevo,123414,115454,114527,72078
Alibunar,20151,17139,16738,10140
Bela Crkva,17367,14451,14042,8519
Vršac,52026,45462,44395,27422
Kovačica,25274,21178,20725,12674
Kovin,33722,28141,27433,16973
Opovo,10440,9462,9304,5771
Plandište,11336,8957,8581,5259
Novi Sad,341625,368967,373652,246526
Bač,14405,11431,11013,6843
Bačka Palanka,55528,48265,47037,28739
Bački Petrovac,13418,11512,11341,7019
Beočin,15726,13875,13661,8541
Bečej,37351,30681,30055,18396
Vrbas,42092,36601,35811,22434
Žabalj,26134,23853,23540,15015
Srbobran,16317,14357,14156,8797
Sremski Karlovci,8750,7872,7618,4623
Temerin,28287,25780,25615,16098
Titel,15738,13984,13779,8611
Kikinda,59453,49326,47851,29512
Ada,16991,13293,12892,7870
Kanjiža,25343,20141,19636,12250
Novi Kneževac,11269,8627,8298,4984
Senta,23316,17953,17335,10636
Čoka,11398,8556,8264,4992
Subotica,141554,123952,121468,76173
Bačka Topola,33321,26228,25374,15293
Mali Iđoš,12031,9983,9757,6008
Zrenjanin,123362,105722,103131,63849
Žitište,16841,13412,12985,8024
Nova Crnja,10272,8147,7929,4789
Novi Bečej,23925,19886,19422,12004
Sečanj,13267,10544,10236,6117
Sremska Mitrovica,79940,72580,71001,45020
Inđija,47433,43443,43030,26345
Irig,10866,9290,8989,5377
Pećinci,19720,18401,18157,11609
Ruma,54339,48621,48221,29456
Stara Pazova,65792,62318,62963,39243
Šid,34188,27894,26856,16397
Užice,78040,69997,67832,41967
Arilje,18792,17063,16674,10280
Bajina Bašta,26022,23533,22896,14000
Kosjerić,12090,10175,9810,5778
Nova Varoš,16638,13507,12787,7313
Požega,29638,25988,25168,15352
Priboj,27133,23514,22481,13511
Prijepolje,37059,32214,31394,19501
Sjenica,26392,24083,23917,15000
Čajetina,14745,14585,15348,9419
Valjevo,90312,82169,80168,50142
Lajkovac,15475,13825,13511,8265
Ljig,12754,10711,10461,6109
Mionica,14335,12061,11864,7120
Osečina,12536,9951,9559,5681
Ub,29101,25780,25433,15827
Šabac,115884,105432,103327,65076
Bogatić,28883,24522,23895,15046
Vladimirci,17462,14427,13914,8457
Koceljeva,13129,11148,10734,6684
Krupanj,17295,14399,13770,8492
Loznica,79327,72062,71035,43878
Ljubovija,14469,12168,11588,7159
Mali Zvornik,12482,11219,10838,6720
Čačak,115337,105612,103928,63765
Gornji Milanovac,44406,38985,38105,22985
Ivanjica,31963,27751,26927,16483
Lučani,20897,16933,16313,9657
Jagodina,71852,64644,62955,38881
Despotovac,23191,18278,17387,9925
Paraćin,54242,45543,44049,26750
Rekovac,11055,8116,7648,4211
Svilajnac,23551,20141,19637,11527
Ćuprija,30645,25325,24427,14606
Kruševac,128752,113582,111025,67874
Aleksandrovac,26522,22069,21041,12653
Brus,16317,13594,12996,7824
Varvarin,17966,14217,13739,8212
Trstenik,42966,35875,34741,20160
Ćićevac,9476,7860,7687,4689
Kraljevo,125488,110196,107564,66774
Vrnjačka Banja,27527,25065,24735,15081
Novi Pazar,100410,106720,109716,72162
Raška,24678,21498,20718,12504
Tutin,31155,33053,33281,21836
Kragujevac,179417,171186,169495,105258
Aranđelovac,46225,41297,40640,25191
Batočina,11760,10162,9981,6034
Knić,14237,11729,11430,6748
Lapovo,7837,6582,6415,3872
Rača,11503,9638,9379,5554
Topola,22329,19134,18535,11192
Bor,48615,40845,39070,24293
Kladovo,20635,17435,16781,9287
Majdanpek,18686,14559,13779,8453
Negotin,37056,28261,26848,14707
Požarevac,75334,68648,67589,42820
Veliko Gradište,17610,15455,14952,8639
Golubac,8331,6599,6265,3496
Žabari,11380,9261,8733,4965
Žagubica,12737,9712,9272,4998
Kučevo,15516,11806,11147,6011
Malo Crniće,11458,8986,8555,4862
Petrovac na Mlavi,31259,25900,24812,14459
Zaječar,59461,47991,46077,27193
Boljevac,12994,10184,9686,5687
Knjaževac,31491,25341,24196,13487
Sokobanja,16021,13199,12652,7212
Leskovac,144206,123950,120959,76547
Bojnik,11104,9315,9023,5421
Vlasotince,29893,25695,24962,16128
Lebane,22000,18119,17318,10940
Medveđa,7438,6360,5874,3743
Crna Trava,1663,1063,938,471
Niš,260237,249501,248079,159308
Aleksinac,51863,43098,41836,25628
Gadžin Han,8389,5850,5440,2944
Doljevac,18463,15837,15563,9699
Merošina,13968,11873,11523,6956
Ražanj,9150,7010,6734,3705
Svrljig,14249,10781,10212,5567
Pirot,57928,49601,48234,29411
Babušnica,12307,9109,8472,4888
Bela Palanka,12126,9947,9545,5438
Dimitrovgrad,10118,8043,7729,4639
Smederevo,108209,97930,96012,60127
Velika Plana,40902,35451,34602,21346
Smederevska Palanka,50284,42192,40873,24952
Vranje,83524,74381,72464,46675
Bosilegrad,8129,6065,5696,3584
Bujanovac,18067,41068,40679,28274
Vladičin Han,20871,17532,16998,10531
Preševo,3080,33449,33283,22948
Surdulica,20319,16991,16437,10367
Trgovište,5091,4316,4180,2715
Prokuplje,44419,38054,37305,22925
Blace,11754,9682,9246,5460
Žitorađa,16368,13782,13512,8250
Kuršumlija,19213,15823,15153,9476
