naziv,prosecna_starost
Barajevo,46.0
Voždovac,42.4
Vračar,43.8
Grocka,42.9
Zvezdara,41.4
Zemun,42.5
Lazarevac,42.7
Mladenovac,44.0
Novi Beograd,43.6
Obrenovac,43.2
Palilula (Beograd),41.9
Rakovica,43.8
Savski venac,43.8
Sopot,46.0
Stari grad,45.5
Surčin,42.1
Čukarica,43.4
Sombor,46.3
Apatin,46.8
Kula,45.4
Odžaci,45.5
Pančevo,44.0
Alibunar,45.2
Bela Crkva,45.6
Vršac,44.5
Kovačica,44.6
Kovin,44.3
Opovo,43.8
Plandište,47.8
Novi Sad,41.1
Bač,45.5
Bačka Palanka,45.1
Bački Petrovac,44.9
Beočin,44.1
Bečej,44.0
Vrbas,43.4
Žabalj,41.3
Srbobran,43.2
Sremski Karlovci,45.9
Temerin,43.7
Titel,43.7
Kikinda,45.4
Ada,45.8
Kanjiža,45.6
Novi Kneževac,44.7
Senta,45.3
Čoka,45.9
Subotica,44.3
Bačka Topola,46.2
Mali Iđoš,43.2
Zrenjanin,45.2
Žitište,44.8
Nova Crnja,44.8
Novi Bečej,43.9
Sečanj,46.0
Sremska Mitrovica,45.0
Inđija,44.5
Irig,47.2
Pećinci,42.8
Ruma,45.0
Stara Pazova,43.4
Šid,46.3
Užice,45.8
Arilje,44.9
Bajina Bašta,46.7
Kosjerić,47.8
Nova Varoš,50.0
Požega,46.5
Priboj,48.4
Prijepolje,43.9
Sjenica,39.5
Čajetina,45.2
Valjevo,45.2
Lajkovac,44.7
Ljig,47.2
Mionica,46.4
Osečina,48.8
Ub,44.4
Šabac,44.1
Bogatić,44.7
Vladimirci,46.5
Koceljeva,45.9
Krupanj,46.9
Loznica,44.6
Ljubovija,46.5
Mali Zvornik,46.1
Čačak,44.8
Gornji Milanovac,46.0
Ivanjica,46.1
Lučani,47.8
Jagodina,45.2
Despotovac,49.2
Paraćin,45.9
Rekovac,51.9
Svilajnac,47.9
Ćuprija,47.4
Kruševac,45.4
Aleksandrovac,47.3
Brus,47.7
Varvarin,47.6
Trstenik,47.9
Ćićevac,46.6
Kraljevo,45.1
Vrnjačka Banja,46.0
Novi Pazar,36.8
Raška,45.6
Tutin,34.9
Kragujevac,43.9
Aranđelovac,44.7
Batočina,45.6
Knić,48.3
Lapovo,46.5
Rača,46.4
Topola,47.0
Bor,45.0
Kladovo,50.6
Majdanpek,47.3
Negotin,50.9
Požarevac,43.9
Veliko Gradište,48.5
Golubac,50.5
Žabari,49.0
Žagubica,50.5
Kučevo,51.2
Malo Crniće,49.8
Petrovac na Mlavi,48.4
Zaječar,48.4
Boljevac,49.1
Knjaževac,49.9
Sokobanja,48.9
Leskovac,44.7
Bojnik,43.4
Vlasotince,44.9
Lebane,44.8
Medveđa,45.7
Crna Trava,56.0
Niš,43.6
Aleksinac,45.7
Gadžin Han,52.9
Doljevac,44.7
Merošina,45.5
Ražanj,49.5
Svrljig,51.0
Pirot,46.6
Babušnica,50.5
Bela Palanka,48.1
Dimitrovgrad,49.8
Smederevo,43.6
Velika Plana,45.0
Smederevska Palanka,45.9
Vranje,43.9
Bosilegrad,48.8
Bujanovac,40.0
Vladičin Han,45.5
Preševo,38.8
Surdulica,44.9
Trgovište,44.2
Prokuplje,43.7
Blace,47.6
Žitorađa,44.2
Kuršumlija,44.8
