naziv,nocenja_12m,nocenja_po_stanovniku
Barajevo,3664,0.1
Voždovac,185732,1.1
Vračar,239491,4.3
Grocka,19460,0.2
Zvezdara,61425,0.4
Zemun,186142,1.0
Lazarevac,5092,0.1
Mladenovac,74016,1.5
Novi Beograd,641764,3.1
Obrenovac,2988,0.0
Palilula (Beograd),434397,2.4
Rakovica,75797,0.7
Savski venac,574925,15.3
Sopot,5613,0.3
Stari grad,1065489,24.5
Surčin,85547,1.8
Čukarica,80486,0.5
Sombor,39859,0.6
Apatin,86213,3.9
Kula,11112,0.3
Odžaci,7055,0.3
Pančevo,63640,0.6
Alibunar,2824,0.2
Bela Crkva,21642,1.5
Vršac,34366,0.8
Kovačica,7407,0.4
Kovin,9895,0.4
Opovo,1986,0.2
Plandište,2231,0.3
Novi Sad,548006,1.5
Bač,2407,0.2
Bačka Palanka,14113,0.3
Bački Petrovac,3663,0.3
Beočin,7978,0.6
Bečej,22965,0.8
Vrbas,4575,0.1
Žabalj,1810,0.1
Srbobran,450,0.0
Sremski Karlovci,10797,1.4
Temerin,2958,0.1
Titel,940,0.1
Kikinda,81381,1.7
Ada,9341,0.7
Kanjiža,44841,2.3
Novi Kneževac,409,0.0
Senta,45111,2.6
Čoka,1139,0.1
Subotica,320557,2.6
Bačka Topola,13376,0.5
Mali Iđoš,6812,0.7
Zrenjanin,78210,0.8
Žitište,5699,0.4
Novi Bečej,16021,0.8
Sečanj,3769,0.4
Sremska Mitrovica,32998,0.5
Inđija,27954,0.6
Irig,252708,28.1
Pećinci,1592,0.1
Ruma,35740,0.7
Stara Pazova,66632,1.1
Šid,12694,0.5
Užice,146208,2.2
Arilje,4476,0.3
Bajina Bašta,184861,8.1
Kosjerić,5091,0.5
Nova Varoš,35024,2.7
Požega,13842,0.5
Priboj,35872,1.6
Prijepolje,6134,0.2
Sjenica,20979,0.9
Čajetina,1338902,87.2
Valjevo,230650,2.9
Ljig,4449,0.4
Mionica,62908,5.3
Osečina,1847,0.2
Ub,11869,0.5
Šabac,65065,0.6
Bogatić,2831,0.1
Vladimirci,67,0.0
Koceljeva,6895,0.6
Krupanj,25615,1.9
Loznica,254940,3.6
Ljubovija,8409,0.7
Mali Zvornik,5948,0.5
Čačak,148419,1.4
Gornji Milanovac,45937,1.2
Ivanjica,74318,2.8
Lučani,3458,0.2
Jagodina,24630,0.4
Despotovac,5136,0.3
Paraćin,57558,1.3
Rekovac,1340,0.2
Svilajnac,6574,0.3
Ćuprija,8893,0.4
Kruševac,92785,0.8
Aleksandrovac,4614,0.2
Brus,115316,8.9
Varvarin,769,0.1
Trstenik,2967,0.1
Ćićevac,1731,0.2
Kraljevo,132934,1.2
Vrnjačka Banja,682355,27.6
Novi Pazar,97672,0.9
Raška,512792,24.8
Tutin,3376,0.1
Kragujevac,165554,1.0
Aranđelovac,131126,3.2
Batočina,30,0.0
Knić,9098,0.8
Lapovo,2938,0.5
Rača,184,0.0
Topola,6646,0.4
Bor,38798,1.0
Kladovo,94255,5.6
Majdanpek,27350,2.0
Negotin,31054,1.2
Požarevac,30107,0.4
Veliko Gradište,114267,7.6
Golubac,11826,1.9
Žabari,2,0.0
Žagubica,11825,1.3
Kučevo,4217,0.4
Malo Crniće,590,0.1
Petrovac na Mlavi,35353,1.4
Zaječar,35130,0.8
Boljevac,55080,5.7
Knjaževac,78636,3.2
Sokobanja,424813,33.6
Leskovac,69297,0.6
Bojnik,408,0.0
Vlasotince,2092,0.1
Lebane,1482,0.1
Medveđa,63866,10.9
Niš,331312,1.3
Aleksinac,15517,0.4
Gadžin Han,353,0.1
Doljevac,1896,0.1
Merošina,1397,0.1
Ražanj,218,0.0
Svrljig,1015,0.1
Pirot,81480,1.7
Babušnica,665,0.1
Bela Palanka,9342,1.0
Dimitrovgrad,12158,1.6
Smederevo,27710,0.3
Velika Plana,23752,0.7
Smederevska Palanka,3929,0.1
Vranje,103072,1.4
Bosilegrad,2008,0.4
Bujanovac,27722,0.7
Vladičin Han,4014,0.2
Preševo,172,0.0
Surdulica,14954,0.9
Trgovište,38,0.0
Prokuplje,8801,0.2
Blace,474,0.1
Žitorađa,405,0.0
Kuršumlija,269630,17.8
