naziv,nisu_primljeni,upisani,odbijeni_pct,privatni_pct
Barajevo,37,758,4.7,0.0
Voždovac,25,7631,0.3,37.1
Vračar,0,2872,0.0,24.0
Grocka,27,2496,1.1,29.5
Zvezdara,17,8631,0.2,30.6
Zemun,58,8734,0.7,46.2
Lazarevac,23,3729,0.6,21.5
Mladenovac,0,1782,0.0,14.0
Novi Beograd,0,10163,0.0,28.5
Obrenovac,0,2770,0.0,19.5
Palilula (Beograd),44,7771,0.6,39.0
Rakovica,182,4112,4.2,5.5
Savski venac,0,1969,0.0,14.4
Sopot,0,882,0.0,0.0
Stari grad,0,2122,0.0,6.2
Surčin,0,1865,0.0,32.5
Čukarica,368,7535,4.7,24.3
Sombor,30,1920,1.5,7.5
Apatin,18,654,2.7,0.0
Kula,0,1253,0.0,0.0
Odžaci,6,761,0.8,0.0
Pančevo,661,3621,15.4,2.1
Alibunar,0,596,0.0,0.0
Bela Crkva,0,320,0.0,0.0
Vršac,0,1329,0.0,0.0
Kovačica,0,488,0.0,0.0
Kovin,16,652,2.4,0.0
Opovo,0,260,0.0,0.0
Plandište,0,254,0.0,0.0
Novi Sad,0,19874,0.0,14.3
Bač,0,328,0.0,0.0
Bačka Palanka,0,1459,0.0,1.6
Bački Petrovac,41,472,8.0,0.0
Beočin,76,396,16.1,17.7
Bečej,38,1149,3.2,0.0
Vrbas,0,1526,0.0,0.0
Žabalj,50,928,5.1,0.0
Srbobran,0,514,0.0,0.0
Sremski Karlovci,0,284,0.0,0.0
Temerin,0,986,0.0,0.0
Titel,0,406,0.0,0.0
Kikinda,4,1612,0.2,0.0
Ada,0,463,0.0,0.0
Kanjiža,0,604,0.0,0.0
Novi Kneževac,1,282,0.4,0.0
Senta,0,631,0.0,0.0
Čoka,0,297,0.0,0.0
Subotica,20,4798,0.4,11.2
Bačka Topola,0,794,0.0,5.3
Mali Iđoš,0,394,0.0,0.0
Zrenjanin,0,3590,0.0,0.4
Žitište,0,390,0.0,0.0
Nova Crnja,0,199,0.0,0.0
Novi Bečej,0,648,0.0,0.0
Sečanj,0,257,0.0,0.0
Sremska Mitrovica,0,2466,0.0,1.8
Inđija,0,1556,0.0,0.0
Irig,0,303,0.0,0.0
Pećinci,0,857,0.0,0.0
Ruma,0,1759,0.0,0.0
Stara Pazova,42,2912,1.4,0.0
Šid,0,814,0.0,0.0
Užice,230,2275,9.2,4.5
Arilje,48,624,7.1,0.0
Bajina Bašta,35,693,4.8,0.0
Kosjerić,0,301,0.0,0.0
Nova Varoš,0,325,0.0,0.0
Požega,23,993,2.3,0.0
Priboj,0,600,0.0,0.0
Prijepolje,0,1014,0.0,0.0
Sjenica,3,718,0.4,9.5
Čajetina,20,728,2.7,0.0
Valjevo,130,3156,4.0,0.0
Lajkovac,0,510,0.0,0.0
Ljig,0,434,0.0,0.0
Mionica,48,405,10.6,0.0
Osečina,4,238,1.7,0.0
Ub,0,804,0.0,0.0
Šabac,0,3620,0.0,7.6
Bogatić,89,644,12.1,0.0
Vladimirci,0,382,0.0,0.0
Koceljeva,0,320,0.0,0.0
Krupanj,0,288,0.0,2.1
Loznica,0,1910,0.0,0.0
Ljubovija,0,286,0.0,0.0
Mali Zvornik,0,254,0.0,0.0
Čačak,0,4329,0.0,23.0
Gornji Milanovac,140,1264,10.0,0.0
Ivanjica,0,801,0.0,0.0
Lučani,0,580,0.0,0.0
Jagodina,0,1651,0.0,0.0
Despotovac,0,451,0.0,0.0
Paraćin,0,962,0.0,0.0
Rekovac,0,96,0.0,0.0
Svilajnac,0,565,0.0,0.0
Ćuprija,70,579,10.8,0.0
Kruševac,17,3526,0.5,0.0
Aleksandrovac,4,604,0.7,0.0
Brus,19,432,4.2,0.0
Varvarin,0,342,0.0,0.0
Trstenik,35,1098,3.1,0.0
Ćićevac,0,231,0.0,0.0
Kraljevo,6,2907,0.2,13.7
Vrnjačka Banja,0,897,0.0,0.0
Novi Pazar,0,2248,0.0,4.7
Raška,47,870,5.1,0.0
Tutin,0,689,0.0,5.2
Kragujevac,0,6239,0.0,41.5
Aranđelovac,0,1413,0.0,0.0
Batočina,91,282,24.4,0.0
Knić,0,259,0.0,0.0
Lapovo,85,213,28.5,0.0
Rača,0,237,0.0,0.0
Topola,0,399,0.0,0.0
Bor,281,1149,19.7,0.0
Kladovo,0,404,0.0,0.0
Majdanpek,0,374,0.0,0.0
Negotin,41,562,6.8,0.0
Požarevac,0,2092,0.0,4.6
Veliko Gradište,0,422,0.0,0.0
Golubac,0,105,0.0,0.0
Žabari,0,139,0.0,0.0
Žagubica,0,223,0.0,0.0
Kučevo,3,240,1.2,0.0
Malo Crniće,0,156,0.0,0.0
Petrovac na Mlavi,0,653,0.0,0.0
Zaječar,0,1120,0.0,0.0
Boljevac,0,187,0.0,0.0
Knjaževac,0,701,0.0,0.0
Sokobanja,0,321,0.0,0.0
Leskovac,744,2931,20.2,23.0
Bojnik,0,247,0.0,0.0
Vlasotince,11,669,1.6,0.0
Lebane,0,374,0.0,0.0
Medveđa,0,181,0.0,0.0
Crna Trava,0,17,0.0,0.0
Niš,902,7697,10.5,7.0
Aleksinac,20,983,2.0,0.0
Gadžin Han,0,63,0.0,0.0
Doljevac,0,251,0.0,0.0
Merošina,0,306,0.0,0.0
Ražanj,20,137,12.7,0.0
Svrljig,0,240,0.0,0.0
Pirot,0,1264,0.0,0.0
Babušnica,0,135,0.0,0.0
Bela Palanka,0,242,0.0,0.0
Dimitrovgrad,0,208,0.0,0.0
Smederevo,0,3505,0.0,0.0
Velika Plana,0,1159,0.0,0.0
Smederevska Palanka,0,1358,0.0,0.0
Vranje,108,2468,4.2,0.0
Bosilegrad,0,125,0.0,0.0
