naziv,neto,neto_poslednji_mesec
Barajevo,100774,105465
Voždovac,149337,155222
Vračar,188423,191985
Grocka,103133,107515
Zvezdara,147217,151994
Zemun,134514,139480
Lazarevac,115940,120382
Mladenovac,98109,101580
Novi Beograd,183094,190013
Obrenovac,108807,112696
Palilula (Beograd),129956,134043
Rakovica,129583,134884
Savski venac,181748,189167
Sopot,100724,105892
Stari grad,193051,194499
Surčin,106270,112400
Čukarica,137063,142810
Sombor,96461,100109
Apatin,93941,101446
Kula,94224,98268
Odžaci,91949,98027
Pančevo,115069,119144
Alibunar,95963,100013
Bela Crkva,92162,96622
Vršac,110058,112228
Kovačica,91884,97276
Kovin,97860,100797
Opovo,96179,101855
Plandište,96282,99873
Novi Sad,132647,135854
Bač,87392,92441
Bačka Palanka,98632,106223
Bački Petrovac,95312,98383
Beočin,100476,102554
Bečej,96799,102156
Vrbas,97084,101208
Žabalj,94753,99480
Srbobran,91052,94713
Sremski Karlovci,107132,110085
Temerin,99353,103842
Titel,93398,96649
Kikinda,100084,103575
Ada,92191,95549
Kanjiža,93051,96782
Novi Kneževac,95944,101710
Senta,99409,107295
Čoka,91626,97811
Subotica,104184,109300
Bačka Topola,95318,98678
Mali Iđoš,89932,96449
Zrenjanin,104652,109163
Žitište,95180,98814
Nova Crnja,94269,98267
Novi Bečej,90929,93863
Sečanj,94968,99063
Sremska Mitrovica,103483,109023
Inđija,110809,115114
Irig,93666,98107
Pećinci,102466,106219
Ruma,101761,107035
Stara Pazova,107335,111861
Šid,95480,100264
Užice,106416,109985
Arilje,86528,91501
Bajina Bašta,89674,94327
Kosjerić,97291,101578
Nova Varoš,91098,94796
Požega,99483,104038
Priboj,93256,97851
Prijepolje,87583,91880
Sjenica,89097,92563
Čajetina,91765,95430
Valjevo,102890,110826
Lajkovac,107282,111446
Ljig,99564,103200
Mionica,89329,92928
Osečina,88633,94217
Ub,100232,105163
Šabac,101179,104812
Bogatić,88803,92332
Vladimirci,89814,92998
Koceljeva,88979,93389
Krupanj,89895,94114
Loznica,94510,98193
Ljubovija,98622,104168
Mali Zvornik,94251,97951
Čačak,100353,104434
Gornji Milanovac,103096,107902
Ivanjica,87475,90535
Lučani,113706,122718
Jagodina,93860,98569
Despotovac,90536,93485
Paraćin,94964,103525
Rekovac,87514,98511
Svilajnac,89246,93406
Ćuprija,95497,101084
Kruševac,102115,108418
Aleksandrovac,87604,93899
Brus,89416,94298
Varvarin,88710,93654
Trstenik,91286,96742
Ćićevac,92026,97728
Kraljevo,97446,102143
Vrnjačka Banja,89179,92558
Novi Pazar,87020,90892
Raška,90779,94940
Tutin,86474,90659
Kragujevac,110652,116404
Aranđelovac,98956,102281
Batočina,92906,97424
Knić,93859,98716
Lapovo,93420,98706
Rača,92829,102631
Topola,91598,96740
Bor,133451,136357
Kladovo,100807,106324
Majdanpek,123313,128945
Negotin,99622,111108
Požarevac,107796,111624
Veliko Gradište,89152,92432
Golubac,87891,92945
Žabari,87858,93034
Žagubica,96394,101638
Kučevo,95289,98867
Malo Crniće,87845,91943
Petrovac na Mlavi,87437,90793
Zaječar,103022,106920
Boljevac,101668,105509
Knjaževac,87829,92307
Sokobanja,91671,95143
Leskovac,90000,94205
Bojnik,80108,83755
Vlasotince,81634,84445
Lebane,83530,88350
Medveđa,96687,98276
Crna Trava,84113,88008
Niš,111927,117267
Aleksinac,91920,97452
Gadžin Han,84044,89042
Doljevac,86893,92782
Merošina,85473,91499
Ražanj,85696,90233
Svrljig,86137,90718
Pirot,102909,106882
Babušnica,91069,96696
Bela Palanka,87259,91606
Dimitrovgrad,89046,91792
Smederevo,105621,108328
Velika Plana,94174,98445
Smederevska Palanka,96374,100785
Vranje,91981,96679
Bosilegrad,84546,89861
Bujanovac,84093,88402
Vladičin Han,92678,95964
Preševo,78678,82777
Surdulica,91740,97459
Trgovište,85199,82936
Prokuplje,94490,98337
Blace,84851,88934
Žitorađa,87372,92522
Kuršumlija,92047,93897
