naziv,kategorija,pm10_dani,merno_mesto,napomena
Barajevo,meri_se,,,
Voždovac,meri_se,,,
Vračar,meri_se,57,,
Grocka,meri_se,,,
Zvezdara,meri_se,34,Zeleno brdo,
Zemun,meri_se,,,
Lazarevac,meri_se,,,
Mladenovac,meri_se,,,
Novi Beograd,meri_se,54,,
Obrenovac,meri_se,89,Obrenovac centar,
Palilula (Beograd),meri_se,,,
Rakovica,meri_se,,,
Savski venac,meri_se,69,Mostar,
Sopot,meri_se,,,
Stari grad,meri_se,58,,
Surčin,meri_se,,,
Čukarica,meri_se,,,
Sombor,meri_se,,,
Kula,meri_se,,,
Odžaci,meri_se,,,
Pančevo,meri_se,64,"Narodna bašta, lokalni monitoring",
Bela Crkva,meri_se,,,
Vršac,meri_se,,,
Kovin,meri_se,,,
Novi Sad,meri_se,33,Rumenačka,
Bačka Palanka,meri_se,,,
Beočin,meri_se,42,centar,
Kikinda,meri_se,,,
Kanjiža,meri_se,,,
Novi Kneževac,meri_se,,,
Senta,meri_se,,,
Čoka,meri_se,,,
Subotica,meri_se,,,
Zrenjanin,meri_se,,,
Sremska Mitrovica,meri_se,,,
Ruma,meri_se,,,
Stara Pazova,meri_se,,,
Užice,prekomerno,117,,
Arilje,meri_se,,,
Kosjerić,prekomerno,113,,
Priboj,meri_se,,,
Čajetina,meri_se,,,
Valjevo,prekomerno,132,,
Šabac,meri_se,134,lokalni monitoring,
Čačak,meri_se,63,,
Gornji Milanovac,meri_se,,,
Jagodina,meri_se,,,
Paraćin,meri_se,174,Popovac,
Ćuprija,meri_se,,,
Kruševac,prekomerno,,,
Trstenik,meri_se,,,
Kraljevo,prekomerno,78,,
Novi Pazar,prekomerno,128,,
Kragujevac,meri_se,63,,
Bor,meri_se,26,gradski park,"visoke koncentracije teških metala (arsen, kadmijum) u PM10"
Negotin,meri_se,,,
Požarevac,meri_se,,,
Boljevac,meri_se,,,
Sokobanja,meri_se,,,
Leskovac,meri_se,,,
Niš,prekomerno,80,,
Aleksinac,meri_se,,,
Pirot,meri_se,55,,
Dimitrovgrad,meri_se,,,
Smederevo,prekomerno,88,Radinac,
Vranje,meri_se,,,
Bosilegrad,meri_se,,,
Blace,meri_se,,,
